userWallet,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,sum_deposit_usd,sum_borrow_usd,sum_repay_usd,sum_redeem_usd,liquidation_ratio,utilization_rate,borrow_repay_ratio,unique_token_count,activity_duration_days,total_actions,actions_per_day,mean_txn_interval_sec,referral_count
0x02e29a42993eb150ccf30ec2bb3dca160d763c89,1,0,0,0,0,1.7592802541184865e+18,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02e2b3f9e177e918e67e25b1a1b6a739049f9e22,4,0,0,0,0,2180417.6842005407,0.0,0.0,0.0,0.0,0.0,0.0,1,6,4,0.5714285714285714,179377.0,0
0x02e2e0296a3caee924b900b69f7b3ebd16729ecc,21,6,8,8,0,1.2970846192152506e+22,3.1327014040048966e+20,3.550812401184686e+20,2.1472155625476886e+21,0.0,0.024151866097218953,0.8822492010447266,6,43,43,0.9772727272727273,89877.57142857143,0
0x02e35b8e24f99002f568f5916de89874197f7a06,54,16,8,12,0,4.544331422487099e+22,3.974790638245224e+22,3.6461222795999435e+22,4.000138012626381e+22,0.0,0.8746700600612957,1.0901418914237133,2,78,90,1.139240506329114,76676.32584269663,0
0x02e4ac7c366cf7320bc78b816b162b26d605a4bd,5,1,2,2,0,8.184835797885932e+19,1.9379232107315124e+21,4.818901990284666e+21,2.880980854682411e+21,0.0,23.676995587768054,0.4021503684114219,3,77,10,0.1282051282051282,747703.2222222222,0
0x02e51d6ce16201a28eaa7de9c8c4bfed25b4b081,35,26,20,31,0,6.712955760138727e+23,9.253152945758998e+21,7.752108049036618e+21,9.746631861768222e+23,0.0,0.013784021936661438,1.1936305437472483,8,46,112,2.382978723404255,36575.28828828829,0
0x02e60b50d9788a17055afec468b5d17a38b6bd9d,29,41,15,19,0,2.5466831553178936e+21,5.055736843306504e+20,2174198716.936354,2.3075995187992178e+21,0.0,0.198522412682131,232533337527.9132,8,18,104,5.473684210526316,15301.378640776698,0
0x02e6277d21ba364845200b883a7a230f173122a8,36,10,11,45,0,1.3696012006119984e+23,5.505504500551664e+22,4.24981647194393e+22,2.038449354320354e+23,0.0,0.401978656129358,1.2954687659802313,5,55,102,1.8214285714285714,47878.39603960396,0
0x02e662fc8e76fe69ef0bea015f0913590d2769c0,1,0,0,0,0,1003834.5411917294,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02e6cec9cf4d077956d9b2b2ed8175aad46fc809,1,0,0,0,0,1043801.0096905746,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02e75b9654e0d0711b877120c7e1a86b2592e380,2,0,0,0,0,884779949136331.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,1.0,159483.0,0
0x02e7f65e93b4730c3092412e3db85648797316f9,1,2,0,0,0,3.2170000000000056e+22,1.293471084913977e+22,0.0,0.0,0.0,0.4020736975175551,1.293471084913977e+22,2,4,3,0.6,185240.0,0
0x02e883c27f8fd486e8d17049c58fc0469716c04e,1,0,0,0,0,1116363.1151671705,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02e96833fa23f6d8676c5f55ecdf46444bcce438,2,0,0,2,0,2.701684353279241e+19,0.0,0.0,1.3244599474061707e+19,0.0,0.0,0.0,4,42,4,0.09302325581395349,1237846.0,0
0x02e9d2239578bd27634659f59fae4df9bac4076d,2,0,0,1,0,1.2910570235797863e+20,0.0,0.0,1.2951916056104549e+20,0.0,0.0,0.0,1,102,3,0.02912621359223301,4407380.0,0
0x02ea60c42a1ed137b04eb4206977a8504b4c16d5,1,0,0,0,0,8048.7448972700095,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02ead283625fb1016a8d50d3f94205f7f90dba20,1,0,0,0,0,1058589.7107726631,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02eb1a315972d427f890b81fe062aa7aae9bc6bb,4,2,3,5,0,1.0124095194796592e+20,4.450890063951336e+19,4.450890413356958e+19,1.0124100445762124e+20,0.0,0.43963336755653265,0.9999999214975905,5,56,14,0.24561403508771928,375422.6923076923,0
0x02eb1d753bea18fd83562467a321dcd88d9773f1,7,6,9,10,0,4.432959551805475e+21,1.0068843697884831e+21,1.0055432555348534e+21,1.2497691174982472e+21,0.0,0.22713592533872656,1.001333721096778,6,77,32,0.41025641025641024,216134.7741935484,0
0x02eb2ee0867dc3dfaa3862d0cc86984b6aada907,12,9,2,4,10,4.765515266952611e+21,2.1379606595819122e+21,8.135848256303742e+20,1.6187188329344401e+21,1.0,0.448631583326994,2.6278275998146814,5,30,37,1.1935483870967742,72400.86111111111,0
0x02ebc38f9ddaebc16f4a2f4e9c90cee0b9eac910,7,12,10,3,0,1.147745762776986e+22,190163887673.82712,199338384084.20538,1.2246506054664151e+22,0.0,1.6568467847245463e-11,0.9539752644555566,6,77,32,0.41025641025641024,215224.70967741936,0
